realized_date,signal_date,Point-in-time Equal Weight,Beta Risk Budget,KOSPI200,RF
2024-10-31,2024-09-30,0.02324525682882439,0.034800577537879906,-0.015779092702169595,0.002680538178865488
2024-11-29,2024-10-31,0.009323251652443298,0.016102282117357536,-0.040875869385830876,0.0028089646965063775
2024-12-30,2024-11-29,-0.04486688677161055,-0.048813254329907685,-0.023444461514825266,0.0026158826090969534
2025-01-31,2024-12-30,0.04448177935706288,0.036382809926715165,0.048895601283745815,0.0021390348581378227
2025-02-28,2025-01-31,0.006695623735436085,0.0066170679405737065,0.002729781617470506,0.002307734199254563
2025-03-31,2025-02-28,-0.005017830399500545,0.0003193948324942131,-0.00559428007299434,0.002226573804763543
2025-04-30,2025-03-31,0.05507854288511438,0.05473761540346822,0.0190734055354993,0.0023614980015673748
2025-05-30,2025-04-30,0.08870665067969496,0.07361290281046995,0.0616401960205466,0.001989434884861252
2025-06-30,2025-05-30,0.12058575730042564,0.11593247475475321,0.15288359935487472,0.0019131105106431345
2025-07-31,2025-06-30,0.04250218630904312,0.04147292385597079,0.05788712011577468,0.0022674840239742533
